date;temperature;luminosity;co2;humidity
2018-01-29T17:02:53.494570;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:04:53.584764;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:06:53.674758;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:08:53.762585;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:10:53.850935;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:12:54.014054;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:14:54.105406;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:16:54.185231;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:18:54.276057;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:20:54.366804;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:22:54.496180;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:24:54.577155;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:26:54.661103;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:28:54.765771;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:30:54.891902;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:32:54.945020;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:34:55.045211;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:36:55.123593;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:38:55.223483;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:40:55.314342;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:42:55.408881;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:44:55.499241;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T17:46:55.585016;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:48:55.674021;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:50:55.761514;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:52:55.857809;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:54:55.947397;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:56:56.034499;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:58:56.127160;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-30T09:01:19.386391;[18-19.5];[<200];[0-400];[30-37]
2018-01-30T09:03:19.438079;[18-19.5];[<200];[0-400];[30-37]
2018-01-30T09:05:19.533733;[18-19.5];[<200];[0-400];[30-37]
2018-01-30T09:07:19.524755;[18-19.5];[<200];[0-400];[30-37]
2018-01-30T09:09:19.578093;[18-19.5];[<200];[0-400];[30-37]
2018-01-30T09:11:19.621858;[18-19.5];[<200];[400-600];[37-42]
2018-01-30T09:13:19.672414;[18-19.5];[<200];[400-600];[37-42]
2018-01-30T09:15:19.706553;[19.5-20.8];[<200];[400-600];[37-42]
2018-01-30T09:17:19.744064;[18-19.5];[<200];[400-600];[37-42]
2018-01-30T09:19:19.780889;[18-19.5];[<200];[600-800];[37-42]
2018-01-30T09:21:19.803435;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:23:19.832166;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:25:19.863000;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:27:19.909956;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:29:19.955726;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:31:20.066360;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:33:20.063254;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:35:20.109480;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:37:20.154157;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:39:20.217244;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:41:20.275084;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:43:20.319167;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:45:20.372589;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:47:20.416292;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:49:20.453689;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:51:20.495588;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:53:20.540376;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:55:20.592285;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:57:20.649552;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T09:59:20.689028;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T10:01:20.078288;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T10:03:20.168329;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:05:20.257975;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:07:20.358976;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T10:09:20.453727;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:11:20.545787;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:13:20.629361;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:15:20.724646;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:17:20.811453;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:19:20.902375;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:21:20.987925;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:23:21.125449;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:25:21.168089;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:27:21.257713;[19.5-20.8];[<200];[600-800];[37-42]
2018-01-30T10:29:21.354156;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:31:21.454770;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:33:21.543181;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:35:21.632286;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:37:21.693037;[20.8-23.2];[<200];[600-800];[37-42]
2018-01-30T10:39:21.749976;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:41:21.797440;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:43:21.853734;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:45:21.912247;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:47:21.953067;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:49:21.992982;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:51:22.027663;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:53:22.064570;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:55:22.110749;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T10:57:22.149101;[20.8-23.2];[200-400];[600-800];[30-37]
2018-01-30T10:59:22.187215;[20.8-23.2];[200-400];[600-800];[30-37]
2018-01-30T11:01:22.236999;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T11:03:22.288823;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T11:05:22.334572;[20.8-23.2];[<200];[800-1000];[30-37]
2018-01-30T11:07:22.393347;[20.8-23.2];[<200];[800-1000];[30-37]
2018-01-30T11:09:22.438513;[20.8-23.2];[<200];[800-1000];[30-37]
2018-01-30T11:11:22.487679;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T11:13:22.541140;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T11:15:22.603777;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T11:17:22.648147;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T11:19:22.694088;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T11:21:22.737651;[20.8-23.2];[<200];[600-800];[30-37]
2018-01-30T11:23:22.771558;[20.8-23.2];[<200];[400-600];[30-37]
2018-01-30T11:25:22.808966;[20.8-23.2];[<200];[400-600];[30-37]
2018-01-30T11:27:22.853726;[20.8-23.2];[<200];[400-600];[30-37]
2018-01-30T11:29:22.883723;[20.8-23.2];[<200];[400-600];[30-37]
2018-01-30T11:31:22.936547;[19.5-20.8];[<200];[400-600];[30-37]
2018-01-30T11:33:22.998712;[19.5-20.8];[<200];[400-600];[30-37]
2018-01-30T11:35:23.056368;[19.5-20.8];[<200];[400-600];[30-37]
2018-01-30T11:37:23.102640;[19.5-20.8];[<200];[400-600];[30-37]
2018-01-30T11:39:23.155557;[19.5-20.8];[<200];[400-600];[30-37]
2018-01-30T11:41:23.201060;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-30T11:43:23.247356;[19.5-20.8];[<200];[400-600];[30-37]
2018-01-30T11:45:23.294099;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-30T11:47:23.339362;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-30T11:49:23.393557;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-30T11:51:23.444008;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-30T11:53:23.495967;[19.5-20.8];[<200];[0-400];[30-37]
