date;temperature;luminosity;co2;humidity
2017-09-14T09:44:37.238444;[20.8-23.2];[<200];[400-600];[45-55]
2017-09-14T09:46:37.381591;[20.8-23.2];[<200];[400-600];[45-55]
2017-09-14T09:48:37.534681;[20.8-23.2];[<200];[400-600];[45-55]
2017-09-14T09:50:37.677900;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T09:52:37.806744;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T09:54:37.956551;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T09:56:38.094987;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T09:58:38.239214;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T10:00:38.376596;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T10:02:38.505547;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T10:04:38.644549;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T10:06:38.767872;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:08:38.913412;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:10:39.047070;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:12:39.160924;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:14:39.287375;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:16:39.418351;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:18:39.543617;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:20:39.682112;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T10:22:39.789114;[20.8-23.2];[200-400];[0-400];[45-55]
2017-09-14T10:24:39.925185;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:26:40.056363;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:28:40.170748;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:30:40.312064;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:32:40.421613;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:34:40.567377;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:36:40.701247;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:38:40.820229;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:40:40.957359;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:42:41.107913;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:44:41.246914;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:46:41.384556;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:48:41.516745;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:50:41.650751;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:52:41.783534;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T10:54:41.925838;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:56:42.069080;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T10:58:42.211245;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T11:00:42.344437;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:02:42.487475;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:04:42.633697;[20.8-23.2];[200-400];[0-400];[45-55]
2017-09-14T11:06:42.780135;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:08:42.909082;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:10:42.055242;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:12:42.240628;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:14:42.476352;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:16:42.699609;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:18:42.952791;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:20:42.060581;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:22:42.464765;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:24:42.835379;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:26:43.213498;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:28:43.613797;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:30:44.001830;[20.8-23.2];[200-400];[0-400];[45-55]
2017-09-14T11:32:44.424768;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:34:44.636698;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:36:44.774568;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T11:38:44.910069;[20.8-23.2];[<200];[0-400];[45-55]
2017-09-14T11:40:45.042080;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T11:42:45.177987;[20.8-23.2];[<200];[0-400];[42-45]
2017-09-14T11:44:45.315989;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:46:45.449328;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:48:45.590174;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:50:45.716712;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:52:45.851893;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:54:45.987398;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:56:46.134172;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T11:58:46.255430;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:00:46.385083;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:02:46.522266;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:04:46.646109;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:06:46.754602;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:08:46.886847;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:10:46.993519;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:12:47.126508;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:14:47.245082;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:16:47.365642;[20.8-23.2];[200-400];[0-400];[42-45]
2017-09-14T12:18:47.496360;[20.8-23.2];[200-400];[0-400];[45-55]
2017-09-14T12:20:47.599638;[20.8-23.2];[400-500];[0-400];[42-45]
2017-09-14T12:22:47.727309;[20.8-23.2];[400-500];[0-400];[45-55]
2017-09-14T12:24:47.872346;[20.8-23.2];[400-500];[0-400];[45-55]
2017-09-14T12:26:48.018404;[20.8-23.2];[400-500];[400-600];[45-55]
2017-09-14T12:28:48.152128;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T12:30:48.291632;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T12:32:48.425623;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T12:34:48.562825;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T12:36:48.684511;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T12:38:48.822371;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T12:40:49.005361;[20.8-23.2];[200-400];[400-600];[42-45]
2017-09-14T12:42:49.146282;[20.8-23.2];[200-400];[400-600];[42-45]
2017-09-14T12:44:49.280993;[20.8-23.2];[200-400];[400-600];[42-45]
2017-09-14T12:46:49.417868;[20.8-23.2];[200-400];[400-600];[42-45]
2017-09-14T12:48:49.559425;[20.8-23.2];[200-400];[400-600];[42-45]
2017-09-14T12:50:49.700143;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T12:52:49.829275;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T12:54:49.969161;[20.8-23.2];[400-500];[400-600];[42-45]
2017-09-14T12:56:50.139849;[20.8-23.2];[200-400];[400-600];[42-45]
2017-09-14T12:58:50.261765;[20.8-23.2];[200-400];[400-600];[42-45]
2017-09-14T13:00:50.374630;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T13:02:50.520246;[20.8-23.2];[200-400];[400-600];[45-55]
2017-09-14T13:04:50.631038;[23.2-24.5];[400-500];[600-800];[45-55]
2017-09-14T13:06:50.764382;[23.2-24.5];[400-500];[600-800];[42-45]
2017-09-14T13:08:50.887787;[23.2-24.5];[400-500];[600-800];[42-45]
2017-09-14T13:10:51.002205;[23.2-24.5];[400-500];[600-800];[45-55]
2017-09-14T13:12:51.140147;[23.2-24.5];[200-400];[600-800];[42-45]
2017-09-14T13:14:51.273442;[23.2-24.5];[200-400];[600-800];[42-45]
2017-09-14T13:16:51.405867;[23.2-24.5];[200-400];[600-800];[42-45]
