date;temperature;luminosity;co2;humidity
2018-06-04T13:41:36.639928;[26-27];[550-600];[0-400];[45-55]
2018-06-04T13:43:36.667309;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T13:45:36.698186;[26-27];[400-500];[0-400];[45-55]
2018-06-04T13:47:36.727473;[26-27];[400-500];[0-400];[45-55]
2018-06-04T13:49:36.756511;[26-27];[500-550];[0-400];[45-55]
2018-06-04T13:51:36.785497;[26-27];[600-900];[0-400];[45-55]
2018-06-04T13:53:36.814771;[26-27];[950-1000];[0-400];[45-55]
2018-06-04T13:55:36.843775;[26-27];[900-950];[0-400];[45-55]
2018-06-04T13:57:36.874363;[26-27];[950-1000];[0-400];[45-55]
2018-06-04T13:59:36.902450;[26-27];[950-1000];[0-400];[45-55]
2018-06-04T14:01:36.933978;[26-27];[900-950];[0-400];[45-55]
2018-06-04T14:03:36.968100;[26-27];[900-950];[0-400];[45-55]
2018-06-04T14:05:36.998979;[26-27];[600-900];[0-400];[45-55]
2018-06-04T14:07:37.030985;[26-27];[400-500];[0-400];[45-55]
2018-06-04T14:09:37.062910;[26-27];[200-400];[0-400];[45-55]
2018-06-04T14:11:37.104531;[26-27];[200-400];[0-400];[45-55]
2018-06-04T14:13:37.124328;[26-27];[200-400];[0-400];[45-55]
2018-06-04T14:15:37.154409;[26-27];[200-400];[0-400];[45-55]
2018-06-04T14:17:37.181399;[26-27];[200-400];[0-400];[45-55]
2018-06-04T14:19:37.212385;[26-27];[200-400];[0-400];[45-55]
2018-06-04T14:21:37.241464;[26-27];[400-500];[0-400];[45-55]
2018-06-04T14:23:37.270714;[26-27];[600-900];[0-400];[45-55]
2018-06-04T14:25:37.301488;[26-27];[900-950];[0-400];[42-45]
2018-06-04T14:27:37.327962;[26-27];[900-950];[0-400];[42-45]
2018-06-04T14:29:37.366823;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:31:37.386128;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:33:37.417431;[26-27];[900-950];[0-400];[45-55]
2018-06-04T14:35:37.442566;[26-27];[900-950];[0-400];[42-45]
2018-06-04T14:37:37.471970;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:39:37.505495;[26-27];[950-1000];[0-400];[45-55]
2018-06-04T14:41:37.534708;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:43:37.632902;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:45:37.599038;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:47:37.629108;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:49:37.703809;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:51:37.705778;[26-27];[900-950];[0-400];[42-45]
2018-06-04T14:53:37.734326;[26-27];[900-950];[0-400];[42-45]
2018-06-04T14:55:37.763654;[26-27];[900-950];[0-400];[42-45]
2018-06-04T14:57:37.799232;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T14:59:37.812654;[26-27];[900-950];[0-400];[42-45]
2018-06-04T15:01:37.846228;[26-27];[600-900];[0-400];[42-45]
2018-06-04T15:03:37.877634;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T15:05:37.917442;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T15:07:37.941475;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T15:09:37.985251;[26-27];[900-950];[0-400];[42-45]
2018-06-04T15:11:37.998740;[27-28];[600-900];[0-400];[42-45]
2018-06-04T15:13:38.027683;[26-27];[600-900];[0-400];[42-45]
2018-06-04T15:15:38.058614;[27-28];[600-900];[0-400];[42-45]
2018-06-04T15:17:38.087617;[26-27];[900-950];[0-400];[42-45]
2018-06-04T15:19:38.119078;[26-27];[600-900];[0-400];[42-45]
2018-06-04T15:21:38.152049;[26-27];[600-900];[0-400];[42-45]
2018-06-04T15:23:38.172776;[27-28];[500-550];[0-400];[42-45]
2018-06-04T15:25:38.269182;[27-28];[500-550];[0-400];[42-45]
2018-06-04T15:27:38.246291;[27-28];[550-600];[0-400];[42-45]
2018-06-04T15:29:38.276611;[26-27];[600-900];[0-400];[42-45]
2018-06-04T15:31:38.304858;[27-28];[600-900];[0-400];[42-45]
2018-06-04T15:33:38.339538;[26-27];[950-1000];[0-400];[42-45]
2018-06-04T15:35:38.361001;[27-28];[950-1000];[0-400];[42-45]
2018-06-04T15:37:38.392101;[27-28];[900-950];[0-400];[42-45]
2018-06-04T15:39:38.422191;[27-28];[600-900];[0-400];[42-45]
2018-06-04T15:41:38.455047;[27-28];[600-900];[0-400];[42-45]
2018-06-04T15:43:38.487931;[27-28];[550-600];[0-400];[42-45]
2018-06-04T15:45:38.515434;[26-27];[600-900];[0-400];[42-45]
